episode,target_x,target_y,x_hat,y_hat,n_vantages_used,stop_x,stop_y,stop_dist_2d,stop_err_2d,n_steps,reason,episode_valid
0,1.1357338389868354,0.004989329237131301,nan,nan,0,0.7500000000000001,0.0,0.3857661052318598,0.0357661052318598,1,open_fixed,True
1,1.095003821605418,0.07243080942930685,nan,nan,0,0.7500000000000001,0.0,0.3525249765292207,0.002524976529220735,1,open_fixed,True
2,1.038073848744799,0.06964197101461064,nan,nan,0,0.7500000000000001,0.0,0.296372310544425,0.053627689455575,1,open_fixed,True
3,1.03948867116702,-0.12055925807833684,nan,nan,0,0.7500000000000001,0.0,0.31358926232007045,0.03641073767992953,1,open_fixed,True
4,1.1136474952909974,0.05830697756211789,nan,nan,0,0.7500000000000001,0.0,0.3682922812982173,0.018292281298217306,1,open_fixed,True
5,1.1302286162533788,0.06779468038407005,nan,nan,0,0.7500000000000001,0.0,0.3862252183717906,0.0362252183717906,1,open_fixed,True
6,1.1767431811253772,-0.06063972927850762,nan,nan,0,0.7500000000000001,0.0,0.43103006786531395,0.08103006786531397,1,open_fixed,True
7,1.1682040421213826,-0.11608711575418318,nan,nan,0,0.7500000000000001,0.0,0.4340170956204239,0.08401709562042392,1,open_fixed,True
8,1.012936852010647,0.007175178908508356,nan,nan,0,0.7500000000000001,0.0,0.2630347340896976,0.0869652659103024,1,open_fixed,True
9,1.125028849855684,0.13910504428060524,nan,nan,0,0.7500000000000001,0.0,0.39999606444112196,0.04999606444112198,1,open_fixed,True
10,1.1280967141189895,-0.11358921914084255,nan,nan,0,0.7500000000000001,0.0,0.39479062290358813,0.04479062290358815,1,open_fixed,True
11,1.000910441835874,-0.059252630232975154,nan,nan,0,0.7500000000000001,0.0,0.2578117995976894,0.09218820040231057,1,open_fixed,True
12,1.0186530006550187,0.09485302281993857,nan,nan,0,0.7500000000000001,0.0,0.28490617876596713,0.06509382123403284,1,open_fixed,True
13,1.0158103084730379,0.1063952875944453,nan,nan,0,0.7500000000000001,0.0,0.28631290105902707,0.06368709894097291,1,open_fixed,True
14,1.060024588963636,-0.04913158729549699,nan,nan,0,0.7500000000000001,0.0,0.3138935466559426,0.036106453344057376,1,open_fixed,True
15,1.0553088064763554,-0.0938674887971682,nan,nan,0,0.7500000000000001,0.0,0.3194128562927658,0.0305871437072342,1,open_fixed,True
16,1.088557561648958,-0.01735622230823311,nan,nan,0,0.7500000000000001,0.0,0.3390021548640963,0.010997845135903683,1,open_fixed,True
17,1.0236898654677056,0.11124703556597546,nan,nan,0,0.7500000000000001,0.0,0.29543534890386447,0.05456465109613551,1,open_fixed,True
18,1.1065741419904698,0.04242834757094133,nan,nan,0,0.7500000000000001,0.0,0.3590895200557101,0.00908952005571012,1,open_fixed,True
19,1.1707460919722674,-0.14091663183340564,nan,nan,0,0.7500000000000001,0.0,0.44371699430741574,0.09371699430741576,1,open_fixed,True
20,1.051967189810902,-0.07307692397361973,nan,nan,0,0.7500000000000001,0.0,0.31068379510321975,0.03931620489678023,1,open_fixed,True
21,1.0877329499402255,-0.11297157203671018,nan,nan,0,0.7500000000000001,0.0,0.35612655273620414,0.0061265527362041605,1,open_fixed,True
22,1.1761505612307048,0.14207067184045266,nan,nan,0,0.7500000000000001,0.0,0.4492086114874048,0.09920861148740484,1,open_fixed,True
23,1.0430050562801758,0.14280229077686538,nan,nan,0,0.7500000000000001,0.0,0.3259516179693995,0.0240483820306005,1,open_fixed,True
24,1.0517763360384138,-0.023833839877582697,nan,nan,0,0.7500000000000001,0.0,0.3027160532843936,0.04728394671560637,1,open_fixed,True
25,1.0412606571743812,0.019201106197685697,nan,nan,0,0.7500000000000001,0.0,0.29189287914724327,0.05810712085275671,1,open_fixed,True
26,1.1775706965903447,-0.032243510646598444,nan,nan,0,0.7500000000000001,0.0,0.4287847298605325,0.07878472986053253,1,open_fixed,True
27,1.1349933868483482,-0.06163435232555889,nan,nan,0,0.7500000000000001,0.0,0.3898957569704406,0.03989575697044062,1,open_fixed,True
28,1.1316832758023097,-0.05867054648997287,nan,nan,0,0.7500000000000001,0.0,0.38616622852421206,0.036166228524212085,1,open_fixed,True
29,1.1014773994006977,-0.1429534586930537,nan,nan,0,0.7500000000000001,0.0,0.3794364948733636,0.02943649487336364,1,open_fixed,True
