point_index,nominal_distance_3d_m,target_sensor_x,sensor_x_actual,sensor_y_actual,sensor_z_actual,sensor_angle_deg,true_distance_3d_m,peak_sample_idx,point_drift,stationarity_ok,posture_violation,sensor_pose_violation,ik_ok,waveform_tag,q_shoulder_pan,q_shoulder_lift,q_elbow,q_wrist_1,q_wrist_2,q_wrist_3
0,0.4,0.9480056818640392,0.9480855469921948,-0.00020584702688653992,0.649799512845679,0.03438343427979976,0.39983456539578754,19.0,0.01686956840503421,True,False,False,True,point_00,-0.2523409171514725,-1.5948267481753688,1.6412179640688518,-1.6157899296976541,-1.569750393013527,-0.25194776537923147
1,0.4375,0.9059108603374105,0.9059812031197988,-0.00011835639999750031,0.649891550689877,0.024920644395477833,0.43738956014811886,21.0,0.025745717466277053,True,False,False,True,point_01,-0.26885224304824185,-1.666286614506241,1.7081539289200363,-1.611522779813806,-1.5701394287968726,-0.26878843905604743
2,0.47500000000000003,0.8646553089791953,0.8647128137853308,-0.00029028916336294405,0.6500468646724471,0.07230297325966979,0.47496613513208485,23.0,0.014578571073909431,True,False,False,True,point_02,-0.28760715928434494,-1.737348621102686,1.7692735473394952,-1.6016513784268536,-1.5690598445770305,-0.2868183024751902
3,0.5125,0.8240207462504274,0.8240668809318108,-0.00022059385832167404,0.6501136150961022,0.06742696994695674,0.5124993357386275,28.0,0.00883402871031811,True,False,False,True,point_03,-0.30844273930732874,-1.8085417300392215,1.8252017370511977,-1.5866732405065411,-1.5698644059260618,-0.30789104261148675
4,0.55,0.7838604839774425,0.7838962106740911,-0.00012469198076987828,0.6502421938537652,0.07832707403279751,0.5500502060966307,28.0,0.05183318484830907,False,False,False,True,point_04,-0.3321496093977173,-1.8804775463999195,1.876478040316458,-1.566877985764094,-1.5714007872019482,-0.33193997033152195
5,0.5875,0.7440717222518718,0.7440982610283284,-0.00013197377047236648,0.6501998475484766,0.06466712919693547,0.5875395670218887,30.0,0.017093703712943147,True,False,False,True,point_05,-0.3602978330245659,-1.95335096085348,1.9227122803266483,-1.539578333418975,-1.5704848945980647,-0.3600259766823693
6,0.625,0.7045799801820568,0.7045980264069389,7.754924234092348e-05,0.6502938677149124,0.07928902899339904,0.6250722136379907,32.0,0.033096828282075455,True,False,False,True,point_06,-0.39320507151248796,-2.027764311975884,1.9646494207911613,-1.5074090951979873,-1.5706026796388584,-0.3937372978967661
7,0.6625000000000001,0.6653298100587991,0.6653403222247145,4.887077015693958e-05,0.6503423509475689,0.08446686170314074,0.6625881975604674,33.0,0.20319424241058157,False,False,False,True,point_07,-0.43281784832406467,-2.103869001542729,2.0018673211670635,-1.4684957614400027,-1.5703490844083312,-0.43320130174143423
8,0.7,0.6262789894919412,0.6262829805990274,4.491008898939878e-05,0.6503338866319431,0.07917650820466043,0.7000868607879082,35.0,0.017005679218581333,True,False,False,True,point_08,-0.4813527566985048,-2.1819913759296203,2.0342591391345635,-1.4225801017490072,-1.5702893181391686,-0.4816910522677924
9,0.7375,0.5873947446166287,0.5873927381247193,-0.00021559321698519802,0.6502165570692611,0.07009307085508752,0.7375577907805623,40.0,0.10902994288039594,False,False,False,True,point_09,-0.5422164682224448,-2.262537537134209,2.0616220601266173,-1.3692529304715213,-1.5711547376400965,-0.5414809920307316
10,0.775,0.5486512128179084,0.5486439624450284,-4.1577249645144826e-05,0.6502203889435838,0.049394856711821394,0.7750610900237631,42.0,0.08149854923408638,False,False,False,True,point_10,-0.6227474563035287,-2.346500212702045,2.083538105098203,-1.3066328868697015,-1.570420313374449,-0.6226839391896668
11,0.8125,0.5100276903587063,0.5100155280575556,0.00011547818071312615,0.6501490529716486,0.03840175780711244,0.8125467011756358,44.0,0.14650727971227065,False,False,False,True,point_11,-0.7337582221565226,-2.4354456979324692,2.0994945693982863,-1.2335400415945776,-1.5709546553452693,-0.7342900272140803
12,0.85,0.471507392911681,0.47149128864944045,0.00011868150750531396,0.6502038668876459,0.04806530717446695,0.8500612977003944,46.0,0.028170819633156517,True,False,False,True,point_12,-0.9049029109079652,-2.5343211227457436,2.107827211101668,-1.1425127661056511,-1.5704922185750614,-0.9054123935006411
