point_index,y_offset_m,target_x_m,target_y_m,target_z_m,rx0_early,rx1_early,balance,peak_sample_idx,point_drift,stationarity_ok,waveform_tag
0,-0.15,0.5,-0.15,0.65,26.46031663370064,32.02793547549677,-0.09519208800087417,25.0,0.03921081063552782,True,point_00
1,-0.125,0.5,-0.125,0.65,26.26944277041461,31.770990038548906,-0.09478818475117513,25.0,0.08085794571408945,False,point_01
2,-0.1,0.5,-0.1,0.65,26.359477383111024,31.755460579720395,-0.0928501928378619,25.0,0.09027428311559693,False,point_02
3,-0.075,0.5,-0.075,0.65,25.998413868001997,31.45652952874501,-0.09499819054824699,22.0,0.010994445750598407,True,point_03
4,-0.05,0.5,-0.05,0.65,27.37985378654771,32.02903975368001,-0.07825740709990003,24.0,0.01943674392373486,True,point_04
5,-0.02500000000000001,0.5,-0.02500000000000001,0.65,26.224872482312193,32.12716298322255,-0.10114969347378469,24.0,0.00324990034265008,True,point_05
6,0.0,0.5,0.0,0.65,27.889981303709536,31.597902276029714,-0.0623306923896513,24.0,0.08035139803707135,False,point_06
7,0.024999999999999994,0.5,0.024999999999999994,0.65,26.33822575124744,31.686032126792377,-0.09216501117145362,24.0,0.04733816532266383,True,point_07
8,0.04999999999999999,0.5,0.04999999999999999,0.65,25.77191658835517,31.766109854552703,-0.10417794347091773,24.0,0.024512552428680546,True,point_08
9,0.07499999999999998,0.5,0.07499999999999998,0.65,26.510130436016187,31.308555626976865,-0.08299090687970226,22.0,0.043504831462145385,True,point_09
10,0.09999999999999998,0.5,0.09999999999999998,0.65,27.209859106039733,31.291516560754964,-0.06977028160778626,25.0,0.07791234348245031,False,point_10
11,0.12499999999999997,0.5,0.12499999999999997,0.65,27.441177807535645,31.278985645047275,-0.06535758097149422,25.0,0.14305395453378356,False,point_11
12,0.15,0.5,0.15,0.65,26.2070394528639,30.036302658452442,-0.06808384889378781,25.0,0.0151236460955903,True,point_12
